name,comments
Instant Pot® Ham,"['          So good. Made it with chilli garlic roasties and sprouts. All ready in well under an hour. A triumph! ', ""          This recipe saved my bacon tonight (pun fully intended)!  I followed the recipe pretty much as written except I added 2 T. of water before sealing the Instant Pot and I had to use commercial pancake syrup in place of maple syrup.  It was very tasty, made my 1.4 kg ham in the time indicated, and the sauce was very good.  I'll definitely be using this recipe again. "", '          Good ', '           So thankful to find this excellent recipe for a frozen ham.  I didn’t have pineapple so I added 1/2 cup apple cider vinegar and 1/2 cup water.  I also used honey instead of maple syrup.  The ham was very tender and delicious.  It took about 30 minutes for a natural release but I’m sure this time varies according to the ingredients used. ', '          Had no honey, but did have maple syrup.... works just as well! ', ""           I'm rather impressed with having a frozen ham into a cooked ham in a short amount of time. I had pineapple rings on hand which worked just perfect. I would recommend more cornstarch for a thicker sauce, but that's a preference thing. Would make again and could fit an even bigger ham if needed. ""]"
Hawaiian Cole Slaw,"[""          I tried this for the first time a  few days ago and I think it's the best Cole Slaw recipes I have ever tasted. I found it was best the second day. "", ""          I made this it's awesome. I didn't have can pineapple so I used fresh. My husband says this is a keeper "", '          We love this recipe!  Great with Ribs, fish tacos, and even just plain and add a little protien if you want!  Made this already twice in last 10 days!  I like the multi color cabbage, carrots etc mix ', '          Followed the recipe as written, just made double. This was a huge hit with all the guys at my husband’s plant.  Excellent as the slaw served on top of a pulled pork sandwich. The pineapple  balances the cabbage and the vinegary dressing. I am picky about slaw, and I really liked this one too! ', '          This was incredible delicious. We will be making this again & soon! ', '          Delicious! ', '          Wonderfully tangy dressing! Easy to make too. ', '          This recipe is wonderful(mostly). I hate cilantro so I use celery seed instead. ', ""          I didn't have apple cider vinegar, so I subbed  3/4 th white vinegar and 1/4 apple juice.  I also subbed splenda brown sugar for regular.  It was delish! ""]"
Delicious Pineapple Muffins,"[""          I didn't change the recipe. It definitely needed morre time to bake. Didn't rise as much as in the picture. Soggy in the centre. Taste of pineapple was lost. Topping was a bit chewy. D;ifficult to get out of the muffin pan. Disappointing for all the prep that was needed and ingredients. "", '           I stirred the pineapple into the batter at the end because I didn’t read the directions carefully. I threw in a big handful of coconut and did not add butter on top. I put a half a maraschino cherry on top and a teaspoon of the crushed pineapple I had left because I had the larger can. I think I could have cut down on the sugar just a bit. I think this is a fabulous recipe. I would love to serve these in the afternoon with tea. ', '          These are ok, nothing great. ', '          Only added 1/3 cup coconut.  Muffins are very dense.  They are edible, but won’t make this recipe again ', '           These are delicious! I followed other’s advice and add the pineapple to the batter. Next time I’ll add more juice to enhance the pineapple flavor. Really good ones! ', '           I made this with the pulp of my pineapples and carrots after juicing them. The muffins were moist and delicious!! I added the pulp of my pineapples and carrots to add additional all natural sweetness.. I will definitely made this again!!!! ', '          These were disappointing for me... I read through the reviews and put one cup finely chopped fresh pineapple in the batter as many had recommended, but the muffin was underwhelming. The streusel topping sank into the muffin and because of that wasn’t really crunchy or very noticeable. The muffin itself also had a bit of a strange taste, I wonder if 1 tbsp baking powder is just too much... ', '           Ended up really crumbly. I used fresh pineapple, added most of the pineapple into the batter. Reserved a small amount for topping. Would add more reserved pineapple next time, otherwise really great taste-wise. ', '          We really liked this recipe. I would add some crushed pineapple into the cake part next time to drive home the pineapple.  I did use some of the juice and spooned over the top of each muffin while they were hot. ']"
Instant Pot Tacos al Pastor,"[""          I don't recommend trying this with any other cut of pork besides what is listed. I tried it with pork loin because my grocery store only sold pork butt in huge quantities, and I wanted something a bit less fatty. I figured it wouldn't change much -- I was wrong. I followed the instructions exactly and didn't adjust the cooking time. The pork was cooked fine but the sauce turned out very weird and separated, so I didn't want to pour it over the meat. As a result the pork was quite dry. I know this is my fault for not following the recipe, but I'm still giving it 3 stars because the flavor simply is not like true tacos as pastor. It's far too sweet. "", '          My husband declared this better than our favorite Mexican restaurants version. This will definitely be a keeper. ', '          Complicated but well worth the effort! al Pastor tastes amazing! ', ""          This recipe, which I followed exactly, made a fine and tasty meal, but I have to say it tasted nothing like authentic Mexican pastor meat.  I had high hopes given some ingredients I had never used before (sazon and chipotle peppers in adobo) but sadly, that elusive pastor flavor just wasn't there. Plus, it was a heckuva lot of work! To me it was much closer to a pulled pork sandwich in flavor than a Mexican pastor taco.  Kudos, however, for the high pressure method which did indeed create perfectly fall apart meat. Note: I marinated for about 9 hours -- no doubt it might have been better to marinate even longer but I still don't think the flavor would be there. Search continues for at-home pastor... "", ""           Perfect recipe for the home cook to make al pastor! The flavor profile was spot on to us and took us back to Mexico, where our obsession with al pastor began. I made the recipe as written with minor substitutes and cook time adjustment due to the amount of meat I had. The only substitutes I made were using canned Chipotle sauce as the Chipotle peppers in adobo sauce were out of stock (used 3 tbsp sauce and probably should have added another 1-2 tbsp), and corn tortillas as that's our preference. I had about 4.5lb pork butt and cooked for 45 min with 15-20 min natural pressure release. Since I made this the night before, I saved the juices in the pot in another container to reheat the meat in the oven so it wouldn't dry out. This recipe is the only one I will make going forward for al pastor. Thank you for the recipe! "", '           I am a big big fan of the Al Pastor at my local Mexican restaurant. Have been a little intimidated by the traditional spit roasting, so looked up a recipe that was a little more accessible. ', '          Made it for for 12, it was delish! Homemade guacamole and homemade pick de Gallo, used corn tortillas for more flavor. I would use crushed pineapple next time. ']"
Baked Pineapple,"['          This was delicious and my husband loved it.   We were both surprised how delicious it was, definitely a keeper ', '          I made this but added 3/4 cup of soy milk to make it a little more cobbler-ish?. I left some of the pineapple juice in with the pineapple.? I used half the sugar.? I left some of the pineapple juice in with the pineapple. It turned out great.! I think it could’ve used a little less butter.? ', '          This was wonderful with our baked ham. It was a bit too sweet but I can adjust that next time. ', '          Didn’t turn out great at all ', ""          I made it for Easter, it was excellent!  Was great with our ham, I didn't change a thing. Definitely will make it again. "", '          When I grease the pan I used sugar and cinnamon around the edges and I stirred in 2 tablespoons of cinnamon it was for a Christmas luncheon for ladies over 60 people attended  and they raved about the baked pineapple ', '          This simple dish has become a staple at our family holiday parties. I took it recently to a BBQ and it was a big hit. ', '          Awesome ', ""          I don't really like pineapple, made this to go with ham for an Easter dinner... well I loved it, everyone did.  only used 1/2 the sugar, as suggested by others, didn't use the butter on top - just didn't see a point to it.  Great on ham sandwiches the next day instead of using mustard or something else.  I'm going to make it again and put in jar in fridge to keep as a spread for toast or biscuits - ""]"
Easy Sweet and Sour Chicken,"['          Have tried many sweet and sour recipes that the family love.  Unfortunately this is not one of them. ', ""          It was good. My boyfriend ate most of it!. I'll make more next time. Thanks for providing a  great recipe. "", '          Easy to make, delicious and fun!! ', '          This is so yummy. I made it with pork not chicken and added thinly sliced carrots. Super good. ', '          This was absolutely amazing. So easy too! ', '          Make it at least once a week, delicious ', '          Delicious!  I added some peanuts as a garnish before serving over some Basmati rice... just because! ', '          This was a yummy dinner enjoyed by kids and grownups alike. I did make a few changes, the main one being substituting cornstarch for the flour, I prefer the way it coats and browns. I cut the lemon juice way down and added white vinegar. I was making a larger batch so I kind of eyeballed the rest of the ingredient amounts. I think this is a sauce you need to taste as you mix because there is a certain amount of personal preference when it comes to the sauce. We will definitely enjoy having this meal again! ', '          I made it and loved it.  I used this recipe, but the jar of Chinese Sweet & Sour sauce from the store for sauce an put over brown rice.  Outstanding, especially if you just pineapple chunks and stir fry vegs till just staring to soften - 5 minutes.  They need to have some crispness. ']"
World's Best Cream Cheese and Pineapple Dip,"[""          I was so disappointed with this. I followed the directions but used a very small quantity of garlic powder. It's so boring and the small amount of onion powder is overwhelming.  I thought that it would have a stronger pineapple taste. "", '          I followed the directions, and found it was delicious. ', ""          I cannot rate this recipe as listed because I have made this for 30 years with only cream cheese and crushed pineapple.  I use 2 pkg and a 20 oz can with a little of the juice mixed in to cream it up and make it easier to scoop.  I don't need to add anything else to it as it is soooo good the way it is.  Best with wavy potato chips.  No one can stop !  BTW: to submit this comment I HAD to rate it. Don't think I'd like the garlic. "", '          I mixed in a couple shakes of red pepper flakes  for a little” zing, and added crushed macadamia nuts on top. ', ""           Very interesting flavors! I had fresh pineapple which I crushed with a potato masher. I also didn't have onion powder, so I minced a little red onion for some color. Served with crackers although I'm sure it's even better with French bread slices. Next time I will choose smaller garlic cloves. Nice find! Thanks! "", '          I would of given it 5 stars, but the garlic was over powering,', ""          This dip is delicious and can't be any easier to make. I followed the recipe  and the sugestions to make it the night before. Served it with bagel chips and it was hit. "", '          I add jalapeño because we like it spicy- best go to recipe! ', ""          Can I give this, like, ten stars?? I was skeptical, but I had a little cream cheese left over to use up, and pineapple for another recipe I'm getting ready to make. I made this, put it on some thin toast, and it is truly one of The Very Best Things I have ever put in my mouth. Thank you, thank you, thank you!!! ""]"
Precious Pineapple Cake,"[""          I like this recipe bc it doesn't call for extra sugar.  I followed (13x9) directions except I put cherry pie filling mixed w/1T of rum extract on the bottom of pan.   Poured batter over cherry pie filling.Baked at 360F for 10 min, then 35 min at 350F, turned off left in the oven for another 10 min.   It inverted to the cake tray perfectly (upside down cake).It doesn't need icing; however, icing is always good.  Glad I found this.  Thanks. "", '          Added an extra egg and instant vanilla pudding to cake mix.  Sliced Maraschino cherries on top. No nuts. Also only one layer in a 9x13 pan ', '          This cake is even better when made with a spice cake mix. Makes wonderful muffins and mini loafs. ', '          I made the cake as suggested, using pineapple pieces instead of crushed.  Then I baked it in an 8x8 glass pan.  It took longer to bake, but came out perfectly.  I just dusted it with powdered sugar, but it was moist and held together. ', '          THIS WAS GREAT. I ADDED AN EXTRA EGG, AS OTHERS HAD SUGGESTED.  I MADE MINE WITH A PINEAPPLE CAKE MIX. IT WAS OUTSTANDING ', '          Family loved it. I flavored the store-bought frosting with a touch of almond and orange extract. Topped the cake with toasted coconut and pecans and served strawberries and whipped cream on the side. Ta-DA! ', '          I added an extra egg and baked this in a 9 x 13” pan, and it was WONDERFUL! The frosting makes a lot, so for the 9x13 which I left in the pan (rather than the 3 rounds where you’d most likely frost the sides) it’s a bit too much. But I will say, NO one complained! ?? ', '          I followed the directions EXCEPT I added about about a half cup of coconut.  It took almost 20 minutes longer to bake but my husband loves it.', '          This was super moist and delicious.  Cooked it in a 9x12 pan for about 10 minutes longer. ']"
Sweet and Sour Chicken III,"['          no ', '          Easy to make and it taste so good. ', '          Tried making this in the microwave with already cooked chicken.  Put chicken in after the liquid thickened a little.  Made a double batch.  Turned out well. ', '          Anybody like my cook i like it ', '          Followed changes of doubled brwn sugar & vinegar & making twice amount sauce. Did season chicken ; I agree for spice lovers could use a little zip but for picky eaters a very nice solid dish. Will make again! ', '           Super easy!! Followed the recipe to a T except added some thinly sliced onions. Even my picky hubby loved it. So much healthier than restaurant sweet and sour fried balls of chicken!! ', '          My family love this recipe!', '          Added a half tablespoon of sesame oil', '          WAY too much soy sauce for this to be sweet and sour sauce. Really disappointed. The dish came out incredibly salty and trying to balance it out with more sugar just resulted in a subpar dish. ']"
Ham and Pineapple Dinner,"[""          It was pretty good, if maybe a little bit too sweet.  I also think the sauce thickened up just a bit too much - congealed rather than 'saucy'.  I'd cut back on both the brown sugar and cornstarch slightly.  I did add veggies (broccoli, carrots, and mushrooms) as many other reviewers did, and sauteed those before adding the onion, garlic (an addition) and ham  into the pan.  Served over white rice.  Good use for leftover ham. "", '          Yes I made one change. I didn’t have any green onions, so I used 1/2 of a regular onion. I will make sure to have green onions next time, for color. Also maybe  a little green red pepper for color. It was easy, and quick to make. My husband liked it over rice.. there was a little more leftover, maybe enough for 1. ', '          Easy & tastes great.  Added: peas & green pepper.  skipped the brown sugar. ', '           This recipe is terrific. I served mine over Orzo (cuz I don’t care for white rice). But you could totally use any style of rice, Saffron, egg noodles, or whatever.  I didn’t have green onions, so I just chopped up purple onion cuz it’s what I had - about a quarter cup in a frying pan.  I sauteed them in the pan with the butter, then I added the drained pineapples and ham and turned it off (I used the left-over country ham from breakfast).  The recipe called for 1-1/3 cups of pineapple juice, but I only had about 1 cup of the juice from the pineapple can, so I topped it off with orange juice in my fridge.  I warmed the juice & apple cider vinegar on the stove with the brown sugar & Dijon mustard (since I don’t know what “prepared mustard” is).  Then I poured it into a bowl and whisked in the cornstarch by hand and poured it all over the pineapples, ham & onion in the pan - Put on medium heat until thick.  Note:  Be careful while stirring the pineapples & ham, so it doesn’t turn to mush. ', ""          Very tasty. Didn't use the vinegar. Came out great. Served green peas as a side. Highly recommend for a simple dinner for two people. "", '          We doubled the amount of ham in the recipe and served it with broccoli on the side. Really good that way. ', ""          Thank you for this great recipe! Made it exactly as directed except for one red onion instead of the green I didn't have on hand. Simmered a bit longer while long grain and wild rice cooked. Delicious! NOT too sweet, just right. "", '          My son and husband liked it, in all honesty I will not make it again.  Just wasnt that great to us, sounds like a lot of people liked it so I hate to say anything negative, try it and see. ', '          It was OK, a good way to use up leftover ham. Used fresh pineapple and served over white rice. A little too sweet for my preference. ']"
White Peachy Sangria,"['          This was tasty and fun.  We used frozen fruit mix of mangos, pineapples, peaches and strawberries, and it turned out well.   We mixed it the evening before, but waited to add the Sprite until right before we served it.  In hindsight, we should have listened to the author and mixed it all together to rest overnight.  It was definitely better the 2nd day, with the flavors having had time to meld and the Sprite to blend. ', ""          We made this to go with our Mexican themed dinner with friends.  It was a huge hit!  Since peaches weren't in season, we added raspberries, pears and strawberries.  It was tasty and easy to make.  I will definitely make this again. "", '          I brought it to a family gathering and it was a huge hit! ', '          Love this and I get two treats out of it! ', '          I always run out and the dispenser is in the air while the last few guests are trying to get the last drop. It’s a big hit. ', '          I used 2 bottles of moscato, 1/2 cup of peach brandy, and 1/4 cup peach schnapps. It was a big hit! ', '          This recipe is amazing! Everyone LOVES it when I bring this sangria to the BBQ. First Sangria I ever made, super easy, I used Cavit Moscato wine, and it was perfect! ', '          This was delicious and loved by all. I made a couple changes. I used apricot brandy and Pinot Grigio.   It is a very versatile sangria and could be changed to your taste. ', '          This tastes like summer in your mouth! Especially great for an outdoor party! It was delicious. I didn’t use the full measure of peach schnapps based on other reviews. And just upped my fresh peaches. This was a big hit. Definitely a keeper. ']"
Pineapple Bread,"[""          Didn't taste pineapple whatsoever. "", '          liked it but will use more pineapple next time and i like the brown sugar thought.  I was thinking next time to add maraschino cherries like pineapple upside down cake ', '          I actually changed the recipe a bit. Instead of walnuts I substituted coconut flakes. Instead of butter I substituted coconut oil. And I added 2 bananas to the mixture. It came out so moist and delicious! ', ""          I made this vegan for my brother by sub'g apple sauce for butter and chia seeds for eggs ( 1 TBL chia + 2 TBL water per egg) . I also followed the advice of others. I added 1 20oz can of pinapple , juice and all.  Also added 1/4 tsp cinn and 1 tsp allspice, and put brown sugar on top. they said it was great. like an pineapple upside down cake-- and they are bakers. I asked about the coconut and they said if adding coconut put on top so it browns nicely. I also sugg adding rum , which was well recieved  ;  ). "", '          This recipe is very good! I unfortunately did not have crushed pineapple, so I used my pineapple chunks. It came out good. I added some of the juice to the batter. All flavors were balanced! Will make it again. ', ""          I made this for my husband and he definitely enjoyed it but it didn't have a "", '          This recipe was good, but I think the bake time was a little too long for my oven, it came out a bit dry. I took the basic recipe and added coconut and macadamia nuts and rum flavoring for a whole tropical vibe. Would make again, but back off the cook time a little bit. ', ""          I'm not a fan of pineapple, but my son requested some pineapple bread and I decided to try this recipe. I did what other reviewers recommended and used 1/2 cup pineapple and 1/2 cup juice. The flavor was very mild, which I enjoyed, but my son said he would prefer a stronger pineapple flavor. I will definitely be making this again and possibly trying other suggestions to increase the flavor. "", '          Super simple and super tasty! Definitely a new favorite! ']"
Pineapple Glaze for Ham,"[""           Simply the best ham glaze I have ever made.  My husband loves it  because it's not very sweet. "", '          Did just like the recipe but I added a teaspoon of Dijon mustard. It was a big hit with my whole family. I will definitely use this again. ', '          Wonderful and absolutely delicious glaze.  Added a pinch of ground cloves and a dash of maraschino cherry juice.  Reduced on the stove for about 10 minutes.   Used this glaze on a Hatfield boneless ham. ', '          my ham tasted excellent with this glaze.  not thick, just a light coating.  justnperfect for the family. ', '          It was quick and easy. I stuck cloves in the ham.Everyone had seconds so it was a hit. ', '          Excellent Glaze!  Have used several times basting the ham during cooking.  This last time I added some of the maraschino cherry juice to the mixture and everyone loved it. ', '           I HAD TO COOK THE GLAZE ON STOVE BECAUSE IT WOULD NOT THICKED. ', '          easy and delish! ', '          Definitely will make it again .  I put pineapple slices on to with toothpicks,  no other changes.  I used a 9 lb fully cooked smoked ham and cooked it on low for 6 hours. Was ready by 5 hours.  Delicious ']"
Sweet and Sour Pork Tenderloin,"['          I added some chopped green peppers, chopped onions and chopped carrots after I removed the pork from the fry pan.  When they were partly softened, I removed from the pan before adding the butter and pineapple.  I added those veggies back in when I put in the sauce and pork (I cut into bitesize pieces while the veggies were cooking).  I served it over Jasmine rice.  Great recipe! ', '          Loved it but I grilled the tenderloin and cut it into medallions before I put them in the sauce and I used crushed pineapple in the sauce in stead of chunks...  something a little diff... ', '          I doubled the sauce part of the recipe including the pineapple chunks.  Probably the best sauce we’ve ever made!  Not too sweet and it was spicy.  Not your typical sweet/sour sauce.  We used the sauce for the next few days to dip egg rolls in and some in fried rice later too.  You could replace pork with chicken or beef. The sauce is amazing!! ', '          yum! Made it with fresh pineapple, added onion, green pepper and carrots! subbed Lilly white corn syrup and water 50/50 for the canned pineapple juice. Turned out great! ', '          Made the dish for 2 people using left over cooked pork tenderloin. Stir fried mix of veggies, peppers, onion, carrots, green beans then put them aside and followed the rest of the recipe adding them back in with the pork at the end. I made the sauce as with a few small changes. It was the perfect amount of sauce  for 2. I would double the sauce for 4 as stated in another review. Only added  1 tsp of hot sauce and no pepper flakes it was just the right amount of heat for us. Also grated the  1 clove of garlic and some ginger into the sauce mix before cooking. Served over Jasmine rice it was delicious. ', '           Great recipe, the sauce needs a little more brown sugar and I fried the meat with a batter made from potato starch, salt, pepper, and almond milk. ', '          Sooo good, family loved it. I upped the crushed red pepper because we like spicy, and added diced red peppers. Excellent. ', '          Easy, delicious. It just tastes healthier too! ', '          Turned out great but I added sliced carrots & celery.  I did not have green bell pepper but substituted yellow bell pepper.  Could also add chopped sweet round onion too. ']"
Cranberry JELL-O Salad,"['          Very quick and easy. I add walnuts instead of pecans and finely diced celery for more texture. I blended it all together. It turned out great ', '          I use raspberry and lemon jello, a tsp of sugar,some diced celery (surprisingly amazing..i like celery,though) n pecan bits mix in well. Almost like a dessert. Great at Thanksgiving. Also good with roast/rotisserie chicken. ', ""          Have been serving this at Thanksgiving dinner for several years, including this one.  It's a big hit and refreshing among all the carb-heavy dishes. "", ""          I will be making this. I'm glad to find a recipe like I usually make it.  I did just notice the can of Cranberry Sauce called for is 16 oz.  My cans say they are 14 oz. I doubt it will matter much. I'll probably add some Mandarin Oranges anyway. "", '          Loved this but added a cup of celery and used the whole berry cranberry sauce.   Easy to make and tasted great.   Will definitely make this again.   Friends asked for the recipe, too. ', '          I made it for dinner tomorrow but I had to taste it. My taste was very good. I followed the directions and did add 1 chopped apple and stirred the pecans into the salad instead of on top. Delicious@ ', '          Use 3 cups boiling water, large box of cherry jello. ', ""          This is basically the recipe my grandmother used, with one important exception. My family uses strawberry Jello,  adding a little orange zest. Also some celery adds a nice touch also. My family has used this basic recipe in all it variants. We don't sit down for Thanksgiving turkey without it. "", ""          This recipe has been in our family for years and we've been making it for the winter holidays since the 70s.  The only thing I do a little differently is to make sure the cranberry sauce melts into the hot jello and then I mix the chopped pecans in with the crushed pineapple.  We also put ours in a jello ring mold, let it set overnight in the fridge, and then unmold and slice it like a bundt cake for serving.  It's a great recipe and is easy to make and always turns out great! ""]"
Southern Pineapple Casserole,"['           Love this recipe! I add the sugar and omit the pineapple juice. It’s a hit! ', ""          Made this several times for family holidays and just brought it in for work pot luck. I would definitely recommend using a fresh pinapple cut in tid bit size pieces. It's a little more work but it takes the flavor to the next level. "", '           One of my absolutely favorite recipes, of all time! Total comfort food. ', ""           I followed the recipe as written. I wasn't sure what to expect, I had never heard of this before, but it is pretty good. If I make it again I will probably add some coconut and top each piece I serve with a maraschino cherry. "", '          Perfection!!! ', ""          I always make the recipe exactly as is the first time. It was awesome. I read some comments on sugar, but that's personal taste. You could eat the pineapple straight out of the can and they would be fine, but sugar makes them taste better. I like the amount of sugar in the recipe."", '          This was absolutely delicious! Being from the Northeast I never heard of this dish before, but wanted to try it as I had some pineapple to use up. It’s very sweet and would make a wonderful addition to any other side dishes at the table...or to simply eat by itself for brunch! It would go very well with ham! Beware of the type of cheese you use, however. I used a generic shredded cheddar cheese and it didn’t melt- I suppose it had rather large quantities of cellulose. It may be worth it to shred the cheese yourself. Regardless, it didn’t affect the taste. It was still delicious! ', '          I added jalapeno cheese with the hard cheddar cheese. ', '          This recipe is divine!!! I have made this wonderful recipe numerous times since I saved it - wowza! I’ve shared this recipe with others who now also make it often. It’s perfect as written and never disappoints! Thank you! ']"
Rosa Marina Fruit Salad,"['          Love this recipe. Easy to make and everyone loves it. ', '          I have made Rosa Marina for years, and it is a reliable hit. I mix the pasta and thickened juices and let them blend overnight before adding the fruit. Also, I have found that an 8oz. tub of Cool Whip is plenty. ', '          Instead of the chunks of pineapple, cherries and mandarin oranges, I cut up strawberries and added blueberries. It was delicious. ', '          Most definitely make again. My kids loved it! I added a small bag of flavored mini marshmallows when I mixed in the whipped topping ?? ', '          I just LOVE this, the last time I ate it all myself. Works great at a picnic on a hot summer day also. ', '          Went over well for a work potluck! ', ""          Delicious as-is! But I usually make it without the eggs, flour, and added sugar. I simply mix the cooked orzo with the fruits (the kind packed in 100% fruit juice) and their juices and let that refrigerate until I'm ready to eat it. Then I fold in the whipped cream and serve. Yum! "", '          The orzo made it weird and unpleasant. Many tried it, no one took more than a spoonful and it went into the garbage. ', '          Exchanged 1 can of pineapples for a can of pears. This salad is absolutely delicious. I have made several different recipes but Iikea this one! ']"
Hawaiian Chicken Kabobs,"['          Very Good!  I made some pork kabobs and shrimp kabobs using the same marinade,  all were good! ', ""          Keep the pineapple separate from the chicken.  I marinated it for over a day but the chicken wasn't as flavorful as I thought it would be. "", '          I made this tonight and used all the ingredients, but didn\'t measure them, just winged it.  I cut the chicken into about 1-1/2"" cubes.  I also used all the liquid from the canned pineapple for the marinade. Turned out well!  I took others\' advice and marinated the chicken and pineapple in separate containers.  After putting the chicken and pineapple on separate skewers, I thickened the marinade FROM THE PINEAPPLE with some cornstarch and used the mixture to glaze both while grilling them.  Served with white rice, and will make again! :)  BTW, use canned pineapple, not fresh. ', '          I used rice vinegar instead of sherry ', '          These were awesome we put them in a flour tortilla with zoodles and grilled jalapeños the best! As for the recipe I read it made the marinade to roughly the same measurements given... Marinade for 4 hours and hubby cooked them with hickory pellets on his grill.... the best tacos I have had in a very long time. Only bummer is there was not enough for seconds... AND IT WAS TACOS.. so we will be having these again ', '          Loved this!! Marinated it over night. Great summer meal! ', ""          Delicious! Only change was I used balsamic vinegar because I didn't have any sherry. Came out great! "", '          The marinade flavor was delicious. But the next time I’m going to marinade the chicken separate from the pineapple. The pineapple juices broke down the texture of the chicken and made it almost chalky.  Other than that, it was a very refreshing, tropical complete meal on a hot summer evening. ', '          My family and I loved this recipe.  Only thing I changed was the sherry cause I did not have any so I substituted rice wine vinegar.  We grilled them over mesquite charcoal. It was delicious.  I am making it again tonight and we are making Hawaiian Shrimp Kabobs as well. ']"
Slow Cooker Tacos al Pastor,"['           This was incredible! Served for my husband and friends and everyone loved it. The pineapple and onion is a really intriguing and delicious combination, as is everything else in this recipe. I used my Magic Bullet blender instead of a food processor and it worked great. Will definitely make this again! ', '          Made one change to the recipe and added the pineapple chunks at the end and reduced the al pastor on the stove for the last hour.  Absolutely the best I have ever tasted.  I will definitely make this again! ']"
Hawaiian Pineapple Chicken,"['          I love this recipe but I made some changes. I always double the sauce ingredients because everyone likes to pour the sauce over their rice. I do a full can of pineapple chunks and stir it into the sauce once it’s thickened. Of course it makes it a bit runny again but it’s so tasty no one cares. Sometimes I sub pork for the chicken which is tasty but not as good as chicken. It’s one of those meals that I can everyone to eat even picky eaters. Sometimes throwing some sliced red peppers into the sauce is an extra yummy taste as well. Yum! ', ""          I've made this a few times and it is really good! I always just used one pan on the stove, so easy that way. Even my picky DH loved it! That's amazing b/c he is sooooo picky! It's a very versatile recipe that can be adapted to what you like. I put carrots in it and snap peas and I used tomato sauce instead of ketchup once and it always turns out great "", '          This was so very tasty!  We loved it.  Next time, I might drop back on the butter and sugar.  It was a bit sweeter than we prefer, but it was still very, very good.  I only had pineapple slices in a 20-oz can, so I put half of the slices in a food processor and ground them up, placing the remaining slices on top for garnish with a sprinkle of pepper and tarragon.  Pretty and yummy.  This recipe is a keeper! ', '          Nice ', '          Nice and easy with fresh flavors! ', '          I just made this recipe tonight. Wow it was delicious. Great taste. Great combinations for flavour. Takes a few mins to prepare then bake. Fantastic recipe. Thanks. ', '          This was sensational. Loved it ', ""          I fixed it exactly as the recipe said except for one thing. I didn't have crushed pineapple, but pineapple chunks. I drained the juice from that and put it in a mug and refrigerated it so I could have it later."", '          Delicious !!!  Tweaked it a bit.  Added a clove or two of minced garlic, and a little smoked Chipotle pepper for a subtle zing.  It was good advice to double the sauce.  It allowed to have left over to pour over rice and along with the meat (boneless skinless thighs) made a nice rice bowl.  Next time might add some zucchini to the sauce after it is cooked, should only take about 10 minutes or so to allow it to soften a bit.  This one will be a new regular go to dish. ']"
BBQ Teriyaki Pork Kabobs,"['          Great recipe. I made the kabobs with pineapple and red bell peppers. ', '          So good! I combined my bbq and teriyaki sauces together and spread it over the kabobs as it cooked in the oven. The pineapple was the best part!! ', '          Amazing taste! ', ""          OMG - this was so good.  Only a couple of very slight changes to the recipe that wouldn't affect the outcome.   Most definitely going to be made again and again.  I think this would also work very well with chicken. "", '          Excellent. Used pork, mushrooms, cocktail tomatoes, red and yellow or orange peppers, red onion and sometimes corn on the cob in small slices. On basmati rice. ', ""          Not bad not not as flavorful as  I'd have liked. I did not add any salt, but even so it was boderline too salty from the soy sauce. "", '          I did add more brown sugar and garlic powder to the basting sauce. ', '          Absolutely delicious! I cut down on the onion though. ', '          I made the recipe as written and the kabobs were excellent.  So easy to prepare and my family loved them. ']"
Air Fryer Roasted Pineapple,"[""          Love it!!!!  Thank you so much.    I won't change a thing. ""]"
